1.0,4.2
2.0,3.7
3.0,3.9
4.0,4.2
5.0,3.1
6.0,3.9
7.0,4.3
8.0,3.9
9.0,3.7
10.0,4.1
11.0,3.3
12.0,3.8
13.0,3.4
14.0,3.3
15.0,3.3
16.0,3.0
17.0,4.1
18.0,3.6
19.0,3.6
20.0,4.1
21.0,2.9
22.0,3.1
23.0,3.3
24.0,3.9
25.0,3.7
26.0,3.0
27.0,4.2
28.0,3.8
29.0,3.6
30.0,3.5
31.0,3.7
32.0,3.6
33.0,3.5
34.0,3.9
35.0,3.5
36.0,4.2
37.0,3.7
38.0,3.6
39.0,3.6
40.0,3.4
41.0,3.5
42.0,3.7
43.0,4.1
44.0,3.6
45.0,2.9
46.0,4.2
47.0,3.9
48.0,3.1
49.0,3.7
50.0,3.1
51.0,3.8
52.0,3.6
53.0,4.2
54.0,4.0
55.0,4.1
56.0,4.0
57.0,2.9
58.0,4.0
59.0,3.5
60.0,3.4
61.0,2.8
62.0,3.6
63.0,3.4
64.0,4.1
65.0,4.3
66.0,3.8
67.0,4.3
68.0,3.8
69.0,4.2
70.0,3.7
71.0,3.8
72.0,3.7
73.0,3.4
74.0,4.0
75.0,4.0
76.0,4.2
77.0,2.9
78.0,3.7
79.0,3.6
80.0,3.9
81.0,4.4
82.0,4.0
83.0,3.6
84.0,3.8
85.0,3.1
86.0,4.3
87.0,2.8
88.0,4.1
89.0,3.2
90.0,3.5
91.0,4.7
92.0,2.8
93.0,3.0
94.0,3.9
95.0,3.6
96.0,3.6
97.0,4.5
98.0,3.8
99.0,3.2
100.0,3.0
101.0,4.7
102.0,3.1
103.0,4.1
104.0,3.3
105.0,4.3
106.0,4.0
107.0,3.7
108.0,3.1
109.0,4.0
110.0,3.2
111.0,3.7
112.0,4.2
113.0,3.5
114.0,3.7
115.0,3.8
116.0,3.8
117.0,3.3
118.0,3.8
119.0,3.5
120.0,3.6
121.0,4.4
122.0,3.0
123.0,3.4
124.0,4.2
125.0,4.1
126.0,4.0
127.0,3.8
128.0,4.4
129.0,4.0
130.0,4.3
131.0,3.4
132.0,4.0
133.0,3.8
134.0,2.7
135.0,3.7
136.0,3.1
137.0,3.6
138.0,4.5
139.0,3.9
140.0,3.8
141.0,3.7
142.0,3.3
143.0,3.5
144.0,3.5
145.0,3.0
146.0,3.8
147.0,3.5
148.0,3.7
149.0,3.9
150.0,4.0
151.0,3.7
152.0,4.1
153.0,4.1
154.0,3.1
155.0,3.0
156.0,4.2
157.0,3.7
158.0,4.0
159.0,3.8
160.0,3.5
161.0,4.5
162.0,4.1
163.0,2.2
164.0,4.4
165.0,4.0
166.0,3.7
167.0,2.9
168.0,3.8
169.0,3.6
170.0,4.0
171.0,4.0
172.0,3.6
173.0,4.0
174.0,3.6
175.0,4.0
176.0,3.6
177.0,4.1
178.0,3.8
179.0,2.7
180.0,3.7
181.0,3.6
182.0,3.8
183.0,4.1
184.0,4.1
185.0,3.6
186.0,4.3
187.0,4.1
188.0,3.2
189.0,4.0
190.0,3.7
191.0,3.3
192.0,3.1
193.0,3.7
194.0,4.0
195.0,3.9
196.0,4.1
197.0,3.9
198.0,3.7
199.0,3.3
200.0,3.4
201.0,4.0
202.0,3.2
203.0,2.3
204.0,3.6
205.0,4.1
206.0,3.1
207.0,3.5
208.0,3.7
